,Movie,LikeCountMean,LikeCountMax,RetweetCountMean,RetweetCountMax,ReplyCountMean,ReplyCountMax,QuoteCountMean,QuoteCountMax,VerifiedMean,FriendsCountMean,FriendsCountMax,FollowersCountMean,FollowersCountMax,StatusesCountMean,StatusesCountMax,revenue
0,#Alive,25.85,209,5.4,79,0.43,8,0.64,13,0.01,173.79,1558,12501.66,749257,33582.17,667840,13416285.0
1,#Зановородиться,3.241758241758242,18,0.26373626373626374,4,0.17582417582417584,2,0.02197802197802198,1,0.06593406593406594,295.6263736263736,5956,46537.0989010989,1887161,22606.714285714286,381984,36000.0
2,10 Days Without Mum,12.21,201,2.35,69,1.49,38,0.23,9,0.05,1058.8,13553,167526.55,8253016,52813.03,1728144,9305412.0
3,100% Wolf,13.45,218,1.75,52,2.01,35,0.24,12,0.08,1540.31,16522,9245.41,246460,40752.82,390406,4608579.0
4,12 Feet Deep,4.05,36,1.27,12,0.11,2,0.18,7,0.09,2293.47,44143,15198.97,299703,54234.73,852802,6158.0
5,12 Mighty Orphans,7.58,74,1.52,26,0.62,9,0.19,2,0.36,7023.72,230877,178913.6,3995485,72244.07,1204060,3615193.0
6,12 Strong,19.23,1068,7.99,164,1.57,65,0.2,5,0.27,7863.5,651275,193318.62,3414060,79909.56,1385191,67450815.0
7,13 Minutes,16.86,583,2.21,76,0.99,17,0.16,4,0.05,1164.84,6436,22737.6,769773,36176.2,258537,67413.0
8,18 Presents,11.91,265,5.47,208,0.84,27,0.19,2,0.05,882.84,9595,3885.42,42956,22905.21,205084,3486375.0
9,1917,30.12,1840,6.65,320,1.36,39,0.74,34,0.2,2317.4,40055,35796.7,436110,93036.54,876614,374733942.0
10,1971: Beyond Borders,2.62,24,0.83,8,0.09,3,0.08,2,0.01,294.97,12212,40684.08,49545,50312.52,145823,1100000.0
11,1987: When the Day Comes,11.142857142857142,180,9.702380952380953,245,0.40476190476190477,8,0.6785714285714286,28,0.13095238095238096,395.9404761904762,4241,74607.63095238095,4550521,51308.65476190476,460599,49380115.0
12,2.0,22.83,1319,6.08,311,0.58,9,0.55,44,0.08,1194.29,20377,18310.72,773295,35552.77,425538,114629169.0
13,2000 Mules,43.15,1301,15.69,548,2.45,56,0.74,22,0.02,2484.58,63490,36429.23,2868722,24826.5,333282,765000.0
